10.1146/annurev-orgpsych-012420-055324	OK	2021	Arthur	The Lazy or Dishonest Respondent: Detection and Prevention	Arthur, W., Jr., Hagen, E., and George, F. (2021). The lazy or dishonest respondent: Detection and prevention. Annu. Rev. Organ. Psychol. Organ. Behav. 8, 105–137. doi: 10.1146/annurev-orgpsych-012420-055324.
10.1016/S1389-9457(00)00065-4	OK	2001	Bastien	Validation of the Insomnia Severity Index as an outcome measure for insomnia research	Bastien, C. H., Vallières, A., and Morin, C. M. (2001). Validation of the Insomnia Severity Index as an outcome measure for insomnia research. Sleep Med. 2(4), 297–307. doi: 10.1016/S1389-9457(00)00065-4.
10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2	OK	1950	BRIER	VERIFICATION OF FORECASTS EXPRESSED IN TERMS OF PROBABILITY	Brier, G. W. (1950). Verification of forecasts expressed in terms of probability. Mon. Weather Rev. 78(1), 1–3. doi: 10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2.
10.1097/01.mlr.0000258615.42478.55	OK	2007	Cella	The Patient-Reported Outcomes Measurement Information System (PROMIS)	Cella, D., Yount, S., Rothrock, N., Gershon, R., Cook, K., Reeve, B., et al. (2007). The Patient-Reported Outcomes Measurement Information System (PROMIS): Progress of an NIH Roadmap cooperative group during its first two years. Med. Care 45(5 Suppl. 1), S3–S11. doi: 10.1097/01.mlr.0000258615.42478.55.
10.1109/TIT.1970.1054406	OK	1970	Chow	On optimum recognition error and reject tradeoff	Chow, C. K. (1970). On optimum recognition error and reject tradeoff. IEEE Transactions on Information Theory 16(1), 41–46. doi: 10.1109/TIT.1970.1054406.
10.1037/h0026256	OK	1968	Cohen	Weighted kappa: Nominal scale agreement provision for scaled disagreement or partial credit.	Cohen, J. (1968). Weighted kappa. Psychol. Bull. 70(4), 213–220. doi: 10.1037/h0026256.
10.2307/2136404	OK	1983	Cohen	A Global Measure of Perceived Stress	Cohen, S., Kamarck, T., and Mermelstein, R. (1983). A global measure of perceived stress. J. Health Soc. Behav. 24(4), 385–396. doi: 10.2307/2136404.
10.1038/s41598-025-91086-w	OK	2025	Colledani	Fast, smart, and adaptive: using machine learning to optimize mental health assessment and monitor change over time	Colledani, D., Barbaranelli, C., and Anselmi, P. (2025). Fast, smart, and adaptive: using machine learning to optimize mental health assessment and monitor change over time. Sci. Rep. 15, 6492. doi: 10.1038/s41598-025-91086-w.
10.1016/j.jesp.2015.07.006	OK	2016	Curran	Methods for the detection of carelessly invalid responses in survey data	Curran, P. G. (2016). Methods for the detection of carelessly invalid responses in survey data. J. Exp. Soc. Psychol. 66, 4–19. doi: 10.1016/j.jesp.2015.07.006.
10.3389/fpsyg.2019.00102	OK	2019	De Boeck	An Overview of Models for Response Times and Processes in Cognitive Tests	De Boeck, P., and Jeon, M. (2019). An overview of models for response times and processes in cognitive tests. Front. Psychol. 10, 102. doi: 10.3389/fpsyg.2019.00102.
10.2196/72591	OK	2025	Faro	Severity Classification of Anxiety and Depression Using Generalized Anxiety Disorder Scale and Patient Health Questionnaire: National Cross-Sectional Study Applying Classification and Regression Tree Models	Faro, A., Tejada, J., and Al-Delaimy, W. (2025). Severity classification of anxiety and depression using Generalized Anxiety Disorder Scale and Patient Health Questionnaire: National cross-sectional study applying classification and regression tree models. JMIR Public Health Surveill. 11, e72591. doi: 10.2196/72591.
10.1176/appi.ps.59.4.361	OK	2008	Gibbons	Using Computerized Adaptive Testing to Reduce the Burden of Mental Health Assessment	Gibbons, R. D., Weiss, D. J., Kupfer, D. J., Frank, E., Fagiolini, A., Grochocinski, V. J., et al. (2008). Using computerized adaptive testing to reduce the burden of mental health assessment. Psychiatr. Serv. 59(4), 361–368. doi: 10.1176/appi.ps.59.4.361.
10.1146/annurev-clinpsy-021815-093634	OK	2016	Gibbons	Computerized Adaptive Diagnosis and Testing of Mental Health Disorders	Gibbons, R. D., Weiss, D. J., Frank, E., and Kupfer, D. (2016). Computerized adaptive diagnosis and testing of mental health disorders. Annu. Rev. Clin. Psychol. 12, 83–104. doi: 10.1146/annurev-clinpsy-021815-093634.
10.1109/ACCESS.2021.3069049	OK	2021	Gogami	Detection of Careless Responses in Online Surveys Using Answering Behavior on Smartphone	Gogami, M., Matsuda, Y., Arakawa, Y., and Yasumoto, K. (2021). Detection of careless responses in online surveys using answering behavior on smartphone. IEEE Access 9, 53205–53218. doi: 10.1109/ACCESS.2021.3069049.
10.1370/afm.2316	OK	2019	Graham	Validation of the Computerized Adaptive Test for Mental Health in Primary Care	Graham, A. K., Minc, A., Staab, E., Beiser, D. G., Gibbons, R. D., and Laiteerapong, N. (2019). Validation of the computerized adaptive test for mental health in primary care. Ann. Fam. Med. 17(1), 23–30. doi: 10.1370/afm.2316.
10.1186/s12888-020-02520-4	OK	2020	Huang	Psychometric properties of the perceived stress scale in a community sample of Chinese	Huang, F., Wang, H., Wang, Z., Zhang, J., Du, W., Su, C., et al. (2020). Psychometric properties of the perceived stress scale in a community sample of Chinese. BMC Psychiatry 20, 130. doi: 10.1186/s12888-020-02520-4.
10.1037/a0038510	OK	2015	Huang	Insufficient effort responding: Examining an insidious confound in survey data.	Huang, J. L., Liu, M., and Bowling, N. A. (2015). Insufficient effort responding: Examining an insidious confound in survey data. J. Appl. Psychol. 100(3), 828–845. doi: 10.1037/a0038510.
10.1016/j.patter.2023.100804	OK	2023	Kapoor	Leakage and the reproducibility crisis in machine-learning-based science	Kapoor, S., and Narayanan, A. (2023). Leakage and the reproducibility crisis in machine-learning-based science. Patterns 4(9), 100804. doi: 10.1016/j.patter.2023.100804.
10.1145/2382577.2382579	OK	2012	Kaufman	Leakage in data mining	Kaufman, S., Rosset, S., Perlich, C., and Stitelman, O. (2012). Leakage in data mining. ACM Trans. Knowl. Discov. Data 6(4), 15. doi: 10.1145/2382577.2382579.
10.1046/j.1525-1497.2001.016009606.x	OK	2001	Kroenke	The PHQ-9	Kroenke, K., Spitzer, R. L., and Williams, J. B. W. (2001). The PHQ-9: Validity of a brief depression severity measure. J. Gen. Intern. Med. 16(9), 606–613. doi: 10.1046/j.1525-1497.2001.016009606.x.
10.1097/01.MLR.0000093487.78664.3C	OK	2003	Kroenke	The Patient Health Questionnaire-2	Kroenke, K., Spitzer, R. L., and Williams, J. B. W. (2003). The Patient Health Questionnaire-2: Validity of a two-item depression screener. Med. Care 41(11), 1284–1292. doi: 10.1097/01.MLR.0000093487.78664.3C.
10.7326/0003-4819-146-5-200703060-00004	OK	2007	Kroenke	Anxiety Disorders in Primary Care: Prevalence, Impairment, Comorbidity, and Detection	Kroenke, K., Spitzer, R. L., Williams, J. B. W., Monahan, P. O., and Löwe, B. (2007). Anxiety disorders in primary care: Prevalence, impairment, comorbidity, and detection. Ann. Intern. Med. 146(5), 317–325. doi: 10.7326/0003-4819-146-5-200703060-00004.
10.1016/j.genhosppsych.2010.03.006	OK	2010	Kroenke	The Patient Health Questionnaire Somatic, Anxiety, and Depressive Symptom Scales: a systematic review	Kroenke, K., Spitzer, R. L., Williams, J. B. W., Monahan, P. O., and Löwe, B. (2010). The Patient Health Questionnaire somatic, anxiety, and depressive symptom scales: A systematic review. Gen. Hosp. Psychiatry 32(4), 345–359. doi: 10.1016/j.genhosppsych.2010.03.006.
10.2196/70451	OK	2025	Kuang	The Impact of Individual Factors on Careless Responding Across Different Mental Disorder Screenings: Cross-Sectional Study	Kuang, H., Zhu, L., Yin, H., Zhang, Z., Jing, B., and Kuang, J. (2025). The impact of individual factors on careless responding across different mental disorder screenings: Cross-sectional study. J. Med. Internet Res. 27, e70451. doi: 10.2196/70451.
10.3389/fpsyg.2015.01171	OK	2015	Lo	To transform or not to transform: using generalized linear mixed models to analyse reaction time data	Lo, S., and Andrews, S. (2015). To transform or not to transform: Using generalized linear mixed models to analyse reaction time data. Front. Psychol. 6, 1171. doi: 10.3389/fpsyg.2015.01171.
10.1371/journal.pone.0189543	OK	2017	Lu	Chinese version of the Perceived Stress Scale-10: A psychometric study in Chinese university students	Lu, W., Bian, Q., Wang, W., Wu, X., Wang, Z., and Zhao, M. (2017). Chinese version of the Perceived Stress Scale-10: A psychometric study in Chinese university students. PLOS ONE 12(12), e0189543. doi: 10.1371/journal.pone.0189543.
10.1016/j.jrp.2013.09.008	OK	2014	Maniaci	Caring about carelessness: Participant inattention and its effects on research	Maniaci, M. R., and Rogge, R. D. (2014). Caring about carelessness: Participant inattention and its effects on research. J. Res. Pers. 48, 61–83. doi: 10.1016/j.jrp.2013.09.008.
10.1037/a0028085	OK	2012	Meade	Identifying careless responses in survey data.	Meade, A. W., and Craig, S. B. (2012). Identifying careless responses in survey data. Psychol. Methods 17(3), 437–455. doi: 10.1037/a0028085.
10.1080/00273171.2016.1192983	OK	2016	Molenaar	Hidden Markov Item Response Theory Models for Responses and Response Times	Molenaar, D., Oberski, D., Vermunt, J., and De Boeck, P. (2016). Hidden Markov item response theory models for responses and response times. Multivariate Behav. Res. 51(5), 606–626. doi: 10.1080/00273171.2016.1192983.
10.1145/1102351.1102430	OK	2005	Niculescu-Mizil	Predicting good probabilities with supervised learning	Niculescu-Mizil, A., and Caruana, R. (2005). Predicting good probabilities with supervised learning. In Proceedings of the 22nd International Conference on Machine Learning (ICML 2005), 625–632. doi: 10.1145/1102351.1102430.
10.1177/1073191111411667	OK	2011	Pilkonis	Item Banks for Measuring Emotional Distress From the Patient-Reported Outcomes Measurement Information System (PROMIS®): Depression, Anxiety, and Anger	Pilkonis, P. A., Choi, S. W., Reise, S. P., Stover, A. M., Riley, W. T., Cella, D., et al. (2011). Item banks for measuring emotional distress from the PROMIS: Depression, anxiety, and anger. Assessment 18(3), 263–283. doi: 10.1177/1073191111411667.
10.1146/annurev.clinpsy.032408.153553	OK	2009	Reise	Item Response Theory and Clinical Measurement	Reise, S. P., and Waller, N. G. (2009). Item response theory and clinical measurement. Annu. Rev. Clin. Psychol. 5, 27–48. doi: 10.1146/annurev.clinpsy.032408.153553.
10.1001/archinte.166.10.1092	OK	2006	Spitzer	A Brief Measure for Assessing Generalized Anxiety Disorder	Spitzer, R. L., Kroenke, K., Williams, J. B. W., and Löwe, B. (2006). A brief measure for assessing generalized anxiety disorder: The GAD-7. Arch. Intern. Med. 166(10), 1092–1097. doi: 10.1001/archinte.166.10.1092.
10.5281/zenodo.10423537	HTTP 404				Su, Z. (2023). Data from: Temporal dynamics in psychological assessments: A novel dataset with scales and response times. Zenodo. doi: 10.5281/zenodo.10423537.
10.1016/j.heliyon.2024.e33485	OK	2024	Su	Exploring the relationship between response time sequence in scale answering process and severity of insomnia: A machine learning approach	Su, Z., Liu, R., Zhou, K., Wei, X., Wang, N., Lin, Z., et al. (2024a). Exploring the relationship between response time sequence in scale answering process and severity of insomnia: A machine learning approach. Heliyon 10(13), e33485. doi: 10.1016/j.heliyon.2024.e33485.
10.1038/s41597-024-03888-8	OK	2024	Su	Temporal dynamics in psychological assessments: a novel dataset with scales and response times	Su, Z., Liu, R., Wei, Y., Zhang, R., Xu, X., Wang, Y., et al. (2024b). Temporal dynamics in psychological assessments: A novel dataset with scales and response times. Sci. Data 11, 1046. doi: 10.1038/s41597-024-03888-8.
10.52202/079017-0076	OK	2024	Traub	Overcoming Common Flaws in the Evaluation of Selective Classification Systems	Traub, J., Bungert, T. J., Lüth, C. T., Baumgartner, M., Maier-Hein, K. H., Maier-Hein, L., et al. (2024). Overcoming common flaws in the evaluation of selective classification systems. In Advances in Neural Information Processing Systems 37 (NeurIPS 2024). doi: 10.52202/079017-0076.
10.1007/s11336-021-09817-7	OK	2022	Ulitzsch	A Response-Time-Based Latent Response Mixture Model for Identifying and Modeling Careless and Insufficient Effort Responding in Survey Data	Ulitzsch, E., Pohl, S., Khorramdel, L., Kroehne, U., and von Davier, M. (2022). A response-time-based latent response mixture model for identifying and modeling careless and insufficient effort responding in survey data. Psychometrika 87, 593–619. doi: 10.1007/s11336-021-09817-7.
10.1186/s12916-019-1466-7	OK	2019		Calibration: the Achilles heel of predictive analytics	Van Calster, B., McLernon, D. J., van Smeden, M., Wynants, L., and Steyerberg, E. W. (2019). Calibration: The Achilles heel of predictive analytics. BMC Med. 17, 230. doi: 10.1186/s12916-019-1466-7.
10.3102/10769986031002181	OK	2006	van der Linden	A Lognormal Model for Response Times on Test Items	van der Linden, W. J. (2006). A lognormal model for response times on test items. J. Educ. Behav. Stat. 31(2), 181–204. doi: 10.3102/10769986031002181.
10.1007/s11336-006-1478-z	OK	2007	van der Linden	A Hierarchical Framework for Modeling Speed and Accuracy on Test Items	van der Linden, W. J. (2007). A hierarchical framework for modeling speed and accuracy on test items. Psychometrika 72(3), 287–308. doi: 10.1007/s11336-006-1478-z.
10.1111/j.1745-3984.2009.00080.x	OK	2009	Van Der Linden	Conceptual Issues in Response‐Time Modeling	van der Linden, W. J. (2009). Conceptual issues in response-time modeling. J. Educ. Meas. 46(3), 247–272. doi: 10.1111/j.1745-3984.2009.00080.x.
10.1016/j.genhosppsych.2014.05.021	OK	2014	Wang	Reliability and validity of the Chinese version of the Patient Health Questionnaire (PHQ-9) in the general population	Wang, W., Bian, Q., Zhao, Y., Li, X., Wang, W., Du, J., et al. (2014). Reliability and validity of the Chinese version of the Patient Health Questionnaire (PHQ-9) in the general population. Gen. Hosp. Psychiatry 36(5), 539–544. doi: 10.1016/j.genhosppsych.2014.05.021.
10.1146/annurev-psych-040422-045007	OK	2023	Ward	Dealing with Careless Responding in Survey Data: Prevention, Identification, and Recommended Best Practices	Ward, M. K., and Meade, A. W. (2023). Dealing with careless responding in survey data. Annu. Rev. Psychol. 74, 577–596. doi: 10.1146/annurev-psych-040422-045007.
10.1177/1359105313508346	OK	2013	Warttig	New, normative, English-sample data for the Short Form Perceived Stress Scale (PSS-4)	Warttig, S. L., Forshaw, L., South, J., and White, A. K. (2013). New, normative, English-sample data for the Short Form Perceived Stress Scale (PSS-4). J. Health Psychol. 18(12), 1617–1628. doi: 10.1177/1359105313508346.
10.1111/j.1365-2648.2010.05394.x	OK	2010	Yu	Insomnia Severity Index: psychometric properties with Chinese community‐dwelling older people	Yu, D. S. F. (2010). Insomnia Severity Index: Psychometric properties with Chinese community-dwelling older people. J. Adv. Nurs. 66(10), 2350–2359. doi: 10.1111/j.1365-2648.2010.05394.x.
10.3389/fpsyt.2021.648755	OK	2021	Zhang	Reliability, Validity, and Measurement Invariance of the General Anxiety Disorder Scale Among Chinese Medical University Students	Zhang, C., Wang, T., Zeng, P., Zhao, M., Zhang, G., Zhai, S., et al. (2021). Reliability, validity, and measurement invariance of the Generalized Anxiety Disorder-7 Scale among Chinese medical university students. Front. Psychiatry 12, 648755. doi: 10.3389/fpsyt.2021.648755.
