budget,comparison,metric,mean,ci_lower,ci_upper
11,rt_calibration_only_minus_responseonly,delta_mean_macro_f1,0.0,0.0,0.0
11,rt_calibration_only_minus_responseonly,delta_mean_high_risk_recall,0.0,0.0,0.0
11,rt_calibration_only_minus_responseonly,delta_mean_ece,-0.01196488000705751,-0.014835407101470417,-0.009452925787861643
11,rt_calibration_only_minus_responseonly,delta_mean_brier_score,-0.007986038467390783,-0.009400158338005771,-0.006778077433294111
11,rtaware_score_adjusted_minus_responseonly,delta_mean_macro_f1,-0.008164124357497445,-0.01792060016422419,0.001339712030072478
11,rtaware_score_adjusted_minus_responseonly,delta_mean_high_risk_recall,-0.008848279752397803,-0.017720802761770776,-0.0003684436925694955
11,rtaware_score_adjusted_minus_responseonly,delta_mean_ece,-0.007089485549539539,-0.010432877391147271,-0.0036811064885880563
11,rtaware_score_adjusted_minus_responseonly,delta_mean_brier_score,-0.011778573035139898,-0.013186884121366626,-0.010296375422368519
19,rt_calibration_only_minus_responseonly,delta_mean_macro_f1,0.0,0.0,0.0
19,rt_calibration_only_minus_responseonly,delta_mean_high_risk_recall,0.0,0.0,0.0
19,rt_calibration_only_minus_responseonly,delta_mean_ece,-0.014700287148418248,-0.016860980990778315,-0.012452532957270146
19,rt_calibration_only_minus_responseonly,delta_mean_brier_score,-0.009762712091759204,-0.010652163002801852,-0.00902296081317093
19,rtaware_score_adjusted_minus_responseonly,delta_mean_macro_f1,-0.012224740044405663,-0.031561208512333044,0.003222477304420617
19,rtaware_score_adjusted_minus_responseonly,delta_mean_high_risk_recall,-0.006078766131792962,-0.013655470188568048,0.0005855144528372936
19,rtaware_score_adjusted_minus_responseonly,delta_mean_ece,-0.017454626809790392,-0.020786529087705948,-0.013914765972022033
19,rtaware_score_adjusted_minus_responseonly,delta_mean_brier_score,-0.013318671686586559,-0.014696417501635375,-0.01213674908427044
26,rt_calibration_only_minus_responseonly,delta_mean_macro_f1,0.0,0.0,0.0
26,rt_calibration_only_minus_responseonly,delta_mean_high_risk_recall,0.0,0.0,0.0
26,rt_calibration_only_minus_responseonly,delta_mean_ece,-0.012265364070562047,-0.015499406513901682,-0.008718677760435296
26,rt_calibration_only_minus_responseonly,delta_mean_brier_score,-0.006787127813145804,-0.007735794441513582,-0.005778424238916455
26,rtaware_score_adjusted_minus_responseonly,delta_mean_macro_f1,-0.043499555931498485,-0.06666538040861224,-0.013996983998713367
26,rtaware_score_adjusted_minus_responseonly,delta_mean_high_risk_recall,-0.07468181532730016,-0.1100908746844825,-0.04477690385408569
26,rtaware_score_adjusted_minus_responseonly,delta_mean_ece,-0.014433920377023615,-0.017561867110466554,-0.012070155379354122
26,rtaware_score_adjusted_minus_responseonly,delta_mean_brier_score,-0.011138898519237817,-0.012678964820494394,-0.009680457115968691
