policy,budget,variant,scale_key,sigma,validation_ece
fixed_order,11,responses,phq9,1.0,0.0153998200208562
fixed_order,11,responses,gad7,1.75,0.0559945752340498
fixed_order,11,responses,pss,6.0,0.2725161685959431
fixed_order,11,responses,isi,4.0,0.0129028372722834
fixed_order,19,responses,phq9,1.0,0.0153998200208562
fixed_order,19,responses,gad7,1.0,0.009159965215561
fixed_order,19,responses,pss,6.0,0.4443216552477699
fixed_order,19,responses,isi,4.0,0.0129028372722834
fixed_order,26,responses,phq9,1.0,0.0153998200208562
fixed_order,26,responses,gad7,1.0,0.009159965215561
fixed_order,26,responses,pss,6.0,0.0908892214813776
fixed_order,26,responses,isi,4.0,0.0129028372722834
short_forms,11,responses,phq9,2.25,0.0941620807699347
short_forms,11,responses,gad7,1.75,0.0559945752340498
short_forms,11,responses,pss,6.0,0.1488183155967298
short_forms,11,responses,isi,3.0,0.0136336555623592
short_forms,19,responses,phq9,2.5,0.0758527709415319
short_forms,19,responses,gad7,1.0,0.009159965215561
short_forms,19,responses,pss,6.0,0.1488183155967298
short_forms,19,responses,isi,3.0,0.0136336555623592
short_forms,26,responses,phq9,2.0,0.0426626970281157
short_forms,26,responses,gad7,1.0,0.009159965215561
short_forms,26,responses,pss,6.0,0.1803161005770959
short_forms,26,responses,isi,2.5,0.0116301767266871
train_selected_fixed,11,responses,phq9,2.0,0.1094413310907869
train_selected_fixed,11,responses,gad7,1.25,0.0116653339867601
train_selected_fixed,11,responses,pss,6.0,0.2725161685959431
train_selected_fixed,11,responses,isi,1.5,0.0198638326997672
train_selected_fixed,19,responses,phq9,2.0,0.0426626970281157
train_selected_fixed,19,responses,gad7,1.25,0.0116653339867601
train_selected_fixed,19,responses,pss,6.0,0.2357633882542743
train_selected_fixed,19,responses,isi,1.25,0.0238639258074276
train_selected_fixed,26,responses,phq9,1.25,0.0459000519350176
train_selected_fixed,26,responses,gad7,1.0,0.009159965215561
train_selected_fixed,26,responses,pss,6.0,0.2568029972773772
train_selected_fixed,26,responses,isi,2.75,0.0398921940023908
random,11,responses,phq9,2.75,0.0444580758552972
random,11,responses,gad7,2.25,0.0267565464018595
random,11,responses,pss,6.0,0.122851061294909
random,11,responses,isi,1.25,0.0454888537188912
random,19,responses,phq9,2.25,0.0281798527130019
random,19,responses,gad7,2.0,0.0125423284776589
random,19,responses,pss,6.0,0.025197851427777
random,19,responses,isi,2.75,0.0235535429124136
random,26,responses,phq9,1.75,0.0189834364887341
random,26,responses,gad7,1.5,0.0079840813411594
random,26,responses,pss,5.0,0.036177602523537
random,26,responses,isi,2.25,0.0190912224384298
response_only_uncertainty,11,responses,phq9,2.5,0.0658015731544057
response_only_uncertainty,11,responses,gad7,2.0,0.0128457996331457
