policy,budget,global_item_id,scale,selection_frequency,mean_selection_rank
fixed_order,11,phq9_q1,phq9,1.0,1.0
fixed_order,11,phq9_q2,phq9,1.0,2.0
fixed_order,11,phq9_q3,phq9,1.0,3.0
fixed_order,11,phq9_q4,phq9,1.0,4.0
fixed_order,11,phq9_q5,phq9,1.0,5.0
fixed_order,11,phq9_q6,phq9,1.0,6.0
fixed_order,11,phq9_q7,phq9,1.0,7.0
fixed_order,11,phq9_q8,phq9,1.0,8.0
fixed_order,11,phq9_q9,phq9,1.0,9.0
fixed_order,11,gad7_q1,gad7,1.0,10.0
fixed_order,11,gad7_q2,gad7,1.0,11.0
fixed_order,11,gad7_q3,gad7,0.0,
fixed_order,11,gad7_q4,gad7,0.0,
fixed_order,11,gad7_q5,gad7,0.0,
fixed_order,11,gad7_q6,gad7,0.0,
fixed_order,11,gad7_q7,gad7,0.0,
fixed_order,11,pss_q1,pss,0.0,
fixed_order,11,pss_q2,pss,0.0,
fixed_order,11,pss_q3,pss,0.0,
fixed_order,11,pss_q4,pss,0.0,
fixed_order,11,pss_q5,pss,0.0,
fixed_order,11,pss_q6,pss,0.0,
fixed_order,11,pss_q7,pss,0.0,
fixed_order,11,pss_q8,pss,0.0,
fixed_order,11,pss_q9,pss,0.0,
fixed_order,11,pss_q10,pss,0.0,
fixed_order,11,pss_q11,pss,0.0,
fixed_order,11,pss_q12,pss,0.0,
fixed_order,11,pss_q13,pss,0.0,
fixed_order,11,pss_q14,pss,0.0,
fixed_order,11,isi_q1,isi,0.0,
fixed_order,11,isi_q2,isi,0.0,
fixed_order,11,isi_q3,isi,0.0,
fixed_order,11,isi_q4,isi,0.0,
fixed_order,11,isi_q5,isi,0.0,
fixed_order,11,isi_q6,isi,0.0,
fixed_order,11,isi_q7,isi,0.0,
short_forms,11,phq9_q1,phq9,1.0,1.0
short_forms,11,phq9_q2,phq9,1.0,2.0
short_forms,11,phq9_q3,phq9,0.0,
short_forms,11,phq9_q4,phq9,0.0,
short_forms,11,phq9_q5,phq9,0.0,
short_forms,11,phq9_q6,phq9,0.0,
short_forms,11,phq9_q7,phq9,0.0,
short_forms,11,phq9_q8,phq9,0.0,
short_forms,11,phq9_q9,phq9,0.0,
short_forms,11,gad7_q1,gad7,1.0,3.0
short_forms,11,gad7_q2,gad7,1.0,4.0
short_forms,11,gad7_q3,gad7,0.0,
short_forms,11,gad7_q4,gad7,0.0,
short_forms,11,gad7_q5,gad7,0.0,
short_forms,11,gad7_q6,gad7,0.0,
short_forms,11,gad7_q7,gad7,0.0,
short_forms,11,pss_q1,pss,0.0,
short_forms,11,pss_q2,pss,1.0,5.0
short_forms,11,pss_q3,pss,0.0,
short_forms,11,pss_q4,pss,1.0,6.0
short_forms,11,pss_q5,pss,1.0,7.0
short_forms,11,pss_q6,pss,0.0,
short_forms,11,pss_q7,pss,0.0,
short_forms,11,pss_q8,pss,0.0,
short_forms,11,pss_q9,pss,0.0,
short_forms,11,pss_q10,pss,1.0,8.0
short_forms,11,pss_q11,pss,0.0,
short_forms,11,pss_q12,pss,0.0,
short_forms,11,pss_q13,pss,0.0,
short_forms,11,pss_q14,pss,0.0,
short_forms,11,isi_q1,isi,1.0,9.0
short_forms,11,isi_q2,isi,1.0,10.0
short_forms,11,isi_q3,isi,1.0,11.0
short_forms,11,isi_q4,isi,0.0,
short_forms,11,isi_q5,isi,0.0,
short_forms,11,isi_q6,isi,0.0,
short_forms,11,isi_q7,isi,0.0,
response_only_uncertainty,11,phq9_q1,phq9,0.0,
response_only_uncertainty,11,phq9_q2,phq9,0.8600439077936334,8.937141033822591
response_only_uncertainty,11,phq9_q3,phq9,0.05653128430296377,10.009708737864077
response_only_uncertainty,11,phq9_q4,phq9,1.0,1.0
response_only_uncertainty,11,phq9_q5,phq9,0.26042810098792535,9.9536354056902
response_only_uncertainty,11,phq9_q6,phq9,0.9991767288693744,5.9813238121395225
response_only_uncertainty,11,phq9_q7,phq9,0.0,
response_only_uncertainty,11,phq9_q8,phq9,0.0,
response_only_uncertainty,11,phq9_q9,phq9,0.0,
response_only_uncertainty,11,gad7_q1,gad7,0.0,
response_only_uncertainty,11,gad7_q2,gad7,1.0,6.029363336992316
response_only_uncertainty,11,gad7_q3,gad7,0.813940724478595,9.611598111935267
response_only_uncertainty,11,gad7_q4,gad7,1.0,2.0
response_only_uncertainty,11,gad7_q5,gad7,0.00027442371020856203,11.0
response_only_uncertainty,11,gad7_q6,gad7,0.09604829857299671,9.977142857142857
response_only_uncertainty,11,gad7_q7,gad7,0.018386388583973654,10.597014925373134
response_only_uncertainty,11,pss_q1,pss,0.0,
response_only_uncertainty,11,pss_q2,pss,0.0,
response_only_uncertainty,11,pss_q3,pss,0.0,
response_only_uncertainty,11,pss_q4,pss,0.0,
response_only_uncertainty,11,pss_q5,pss,0.21350164654226125,9.67095115681234
response_only_uncertainty,11,pss_q6,pss,1.0,3.0
response_only_uncertainty,11,pss_q7,pss,0.7993962678375411,9.550635084105734
response_only_uncertainty,11,pss_q8,pss,0.0,
response_only_uncertainty,11,pss_q9,pss,0.9928649835345774,6.614151464897733
response_only_uncertainty,11,pss_q10,pss,0.0,
response_only_uncertainty,11,pss_q11,pss,0.0,
response_only_uncertainty,11,pss_q12,pss,0.0,
response_only_uncertainty,11,pss_q13,pss,0.005762897914379802,10.047619047619047
response_only_uncertainty,11,pss_q14,pss,0.0,
response_only_uncertainty,11,isi_q1,isi,0.05406147091108672,10.426395939086294
response_only_uncertainty,11,isi_q2,isi,1.0,4.0
response_only_uncertainty,11,isi_q3,isi,0.0,
response_only_uncertainty,11,isi_q4,isi,0.0,
