variant,scale,class_index,severity_label,support,precision,recall,f1
response_only,PHQ-9,0,minimal,2507,0.9909365558912386,0.9158356601515756,0.9519071310116086
response_only,PHQ-9,1,mild,942,0.7901353965183753,0.8673036093418259,0.8269230769230769
response_only,PHQ-9,2,moderate,136,0.4723618090452261,0.6911764705882353,0.5611940298507463
response_only,PHQ-9,3,moderately_severe,41,0.421875,0.6585365853658537,0.5142857142857142
response_only,PHQ-9,4,severe,18,0.5666666666666667,0.9444444444444444,0.7083333333333334
response_only,GAD-7,0,minimal,3012,0.9652956298200515,0.99734395750332,0.9810581319399085
response_only,GAD-7,1,mild,548,0.9772727272727273,0.7846715328467153,0.8704453441295547
response_only,GAD-7,2,moderate,43,0.7291666666666666,0.813953488372093,0.7692307692307693
response_only,GAD-7,3,severe,30,0.7666666666666667,0.7666666666666667,0.7666666666666667
response_only,GAD-7,4,very_severe,11,0.7142857142857143,0.9090909090909091,0.8
response_only,PSS,0,low,951,0.8009950248756219,0.8464773922187171,0.8231083844580777
response_only,PSS,1,moderate,2269,0.8552522746071133,0.45570736007051565,0.5945945945945946
response_only,PSS,2,high,399,0.2738537794299876,0.5538847117794486,0.36650082918739635
response_only,PSS,3,very_high,25,0.033707865168539325,0.84,0.06481481481481481
response_only,ISI,0,no_clinically_significant,3300,0.9901020723785957,0.97,0.9799479565283943
response_only,ISI,1,subthreshold,305,0.7005813953488372,0.7901639344262295,0.7426810477657936
response_only,ISI,2,clinical_moderate,33,0.42857142857142855,0.7272727272727273,0.5393258426966292
response_only,ISI,3,clinical_severe,6,0.5454545454545454,1.0,0.7058823529411765
rt_calibration_only,PHQ-9,0,minimal,2507,0.9909365558912386,0.9158356601515756,0.9519071310116086
rt_calibration_only,PHQ-9,1,mild,942,0.7901353965183753,0.8673036093418259,0.8269230769230769
rt_calibration_only,PHQ-9,2,moderate,136,0.4723618090452261,0.6911764705882353,0.5611940298507463
rt_calibration_only,PHQ-9,3,moderately_severe,41,0.421875,0.6585365853658537,0.5142857142857142
rt_calibration_only,PHQ-9,4,severe,18,0.5666666666666667,0.9444444444444444,0.7083333333333334
rt_calibration_only,GAD-7,0,minimal,3012,0.9652956298200515,0.99734395750332,0.9810581319399085
rt_calibration_only,GAD-7,1,mild,548,0.9772727272727273,0.7846715328467153,0.8704453441295547
rt_calibration_only,GAD-7,2,moderate,43,0.7291666666666666,0.813953488372093,0.7692307692307693
rt_calibration_only,GAD-7,3,severe,30,0.7666666666666667,0.7666666666666667,0.7666666666666667
rt_calibration_only,GAD-7,4,very_severe,11,0.7142857142857143,0.9090909090909091,0.8
rt_calibration_only,PSS,0,low,951,0.8009950248756219,0.8464773922187171,0.8231083844580777
rt_calibration_only,PSS,1,moderate,2269,0.8552522746071133,0.45570736007051565,0.5945945945945946
rt_calibration_only,PSS,2,high,399,0.2738537794299876,0.5538847117794486,0.36650082918739635
rt_calibration_only,PSS,3,very_high,25,0.033707865168539325,0.84,0.06481481481481481
rt_calibration_only,ISI,0,no_clinically_significant,3300,0.9901020723785957,0.97,0.9799479565283943
rt_calibration_only,ISI,1,subthreshold,305,0.7005813953488372,0.7901639344262295,0.7426810477657936
rt_calibration_only,ISI,2,clinical_moderate,33,0.42857142857142855,0.7272727272727273,0.5393258426966292
rt_calibration_only,ISI,3,clinical_severe,6,0.5454545454545454,1.0,0.7058823529411765
rt_score_adjusted,PHQ-9,0,minimal,2507,0.9901245169600686,0.9198244914240128,0.9536807278742763
rt_score_adjusted,PHQ-9,1,mild,942,0.7965116279069767,0.8726114649681529,0.8328267477203647
rt_score_adjusted,PHQ-9,2,moderate,136,0.4845360824742268,0.6911764705882353,0.5696969696969697
rt_score_adjusted,PHQ-9,3,moderately_severe,41,0.423728813559322,0.6097560975609756,0.5
rt_score_adjusted,PHQ-9,4,severe,18,0.5666666666666667,0.9444444444444444,0.7083333333333334
rt_score_adjusted,GAD-7,0,minimal,3012,0.9674613402061856,0.9970119521912351,0.9820143884892086
rt_score_adjusted,GAD-7,1,mild,548,0.9732739420935412,0.7974452554744526,0.876629889669007
rt_score_adjusted,GAD-7,2,moderate,43,0.7090909090909091,0.9069767441860465,0.7959183673469388
rt_score_adjusted,GAD-7,3,severe,30,0.8,0.6666666666666666,0.7272727272727273
rt_score_adjusted,GAD-7,4,very_severe,11,0.6363636363636364,0.6363636363636364,0.6363636363636364
rt_score_adjusted,PSS,0,low,951,0.8029850746268656,0.8485804416403786,0.8251533742331288
rt_score_adjusted,PSS,1,moderate,2269,0.858085808580858,0.4583516967827237,0.5975294455616202
rt_score_adjusted,PSS,2,high,399,0.27611044417767105,0.5764411027568922,0.37337662337662336
rt_score_adjusted,PSS,3,very_high,25,0.03535353535353535,0.84,0.06785137318255251
rt_score_adjusted,ISI,0,no_clinically_significant,3300,0.9891875193080012,0.9703030303030303,0.9796542756616184
rt_score_adjusted,ISI,1,subthreshold,305,0.7017543859649122,0.7868852459016393,0.7418856259659969
rt_score_adjusted,ISI,2,clinical_moderate,33,0.43636363636363634,0.7272727272727273,0.5454545454545454
rt_score_adjusted,ISI,3,clinical_severe,6,0.5,0.8333333333333334,0.625
