escalation_rate,n_participants,n_escalated,avg_items_used,added_items_total,errors_captured,error_capture_rate,high_risk_fn_captured,high_risk_fn_capture_rate,overconfident_wrong_captured,overconfident_wrong_capture_rate,post_macro_f1_mean,post_high_risk_recall_mean,remaining_errors,remaining_high_risk_fn,remaining_overconfident_wrong,errors_corrected_per_100_added_items,high_risk_fn_corrected_per_100_added_items,strategy,random_repeats,errors_captured_sd,high_risk_fn_captured_sd,overconfident_wrong_captured_sd,post_macro_f1_mean_sd,remaining_overconfident_wrong_sd
0.05,3644.0,183.0,19.903951701427,3294.0,113.3,0.049911894273127755,1.855,0.04524390243902439,28.68,0.049533678756476685,0.699816104747093,0.9461087043852373,2156.7,39.145,550.32,3.4395871281117185,0.056314511232544016,random,200.0,9.043782394551519,1.365274697634143,5.066320163590137,0.003234608297166189,5.066320163590138
0.05,3644.0,183.0,19.903951701427005,3294.0,114.0,0.050220264317180616,4.0,0.0975609756097561,15.0,0.025906735751295335,0.6969631231805526,0.950746855345912,2156.0,37.0,564.0,3.4608378870673953,0.12143290831815422,confidence_only,,,,,,
0.05,3644.0,183.0,19.903951701427005,3294.0,175.0,0.07709251101321586,2.0,0.04878048780487805,132.0,0.22797927461139897,0.6978668755919911,0.9447944743935309,2095.0,39.0,447.0,5.312689738919247,0.06071645415907711,rt_only,,,,,,
0.05,3644.0,183.0,19.903951701427005,3294.0,158.0,0.06960352422907488,2.0,0.04878048780487805,3.0,0.0051813471502590676,0.6978589128976648,0.950615108162278,2112.0,39.0,576.0,4.796599878567092,0.06071645415907711,rt_plus_conf_error,,,,,,
0.05,3644.0,183.0,19.903951701427005,3294.0,177.0,0.07797356828193833,0.0,0.0,177.0,0.30569948186528495,0.6972052550689194,0.9436152291105121,2093.0,41.0,402.0,5.373406193078324,0.0,rt_plus_conf_ocw,,,,,,
0.05,3644.0,183.0,19.903951701427005,3294.0,247.0,0.10881057268722467,5.0,0.12195121951219512,16.0,0.027633851468048358,0.7173556445479632,0.9472557709586011,2023.0,36.0,563.0,7.498482088646023,0.15179113539769276,rt_plus_conf_hfn,,,,,,
0.05,3644.0,183.0,19.903951701427005,3294.0,181.0,0.07973568281938326,1.0,0.024390243902439025,13.0,0.022452504317789293,0.7111565083374495,0.9500254855207686,2089.0,40.0,566.0,5.494839101396479,0.030358227079538554,shuffled_rt_placebo,,,,,,
0.05,3644.0,183.0,19.903951701427005,3294.0,331.0,0.1458149779735683,41.0,1.0,138.0,0.23834196891191708,0.770589183086605,1.0,1939.0,0.0,441.0,10.048573163327262,1.2446873102610807,oracle,,,,,,
0.1,3644.0,365.0,20.80296377607025,6570.0,227.92,0.10040528634361234,4.165,0.10158536585365856,57.4,0.0991364421416235,0.7114820405904777,0.9495708497477365,2042.08,36.835,521.6,3.469101978691019,0.06339421613394217,random,200.0,12.796233820933407,2.2176056908296387,6.973521348644457,0.004485517641087897,6.973521348644455
0.1,3644.0,365.0,20.802963776070253,6570.0,255.0,0.11233480176211454,7.0,0.17073170731707318,20.0,0.03454231433506045,0.709480159120365,0.9532081519109821,2015.0,34.0,559.0,3.8812785388127855,0.106544901065449,confidence_only,,,,,,
0.1,3644.0,365.0,20.802963776070253,6570.0,350.0,0.15418502202643172,4.0,0.0975609756097561,241.0,0.4162348877374784,0.7101363516400756,0.9517943534452968,1920.0,37.0,338.0,5.327245053272451,0.060882800608828,rt_only,,,,,,
0.1,3644.0,365.0,20.802963776070253,6570.0,310.0,0.13656387665198239,3.0,0.07317073170731707,12.0,0.02072538860103627,0.7133210646412174,0.9512047308037874,1960.0,38.0,567.0,4.718417047184171,0.045662100456621,rt_plus_conf_error,,,,,,
0.1,3644.0,365.0,20.802963776070253,6570.0,335.0,0.14757709251101322,1.0,0.024390243902439025,325.0,0.5613126079447323,0.7060612557462925,0.9500254855207686,1935.0,40.0,254.0,5.098934550989346,0.015220700152207,rt_plus_conf_ocw,,,,,,
0.1,3644.0,365.0,20.802963776070253,6570.0,415.0,0.1828193832599119,14.0,0.34146341463414637,28.0,0.04835924006908463,0.7376637243619784,0.9587203676826318,1855.0,27.0,551.0,6.316590563165906,0.213089802130898,rt_plus_conf_hfn,,,,,,
0.1,3644.0,365.0,20.802963776070253,6570.0,332.0,0.14625550660792952,2.0,0.04878048780487805,17.0,0.02936096718480138,0.725482256817841,0.9530016759969591,1938.0,39.0,562.0,5.053272450532725,0.030441400304414,shuffled_rt_placebo,,,,,,
0.1,3644.0,365.0,20.802963776070253,6570.0,513.0,0.22599118942731278,41.0,1.0,320.0,0.5526770293609672,0.7816933637179838,1.0,1757.0,0.0,259.0,7.808219178082192,0.624048706240487,oracle,,,,,,
0.2,3644.0,729.0,22.600987925356755,13122.0,453.585,0.19981718061674006,7.885,0.19231707317073174,116.74,0.20162348877374783,0.7351393308813988,0.9544375993503351,1816.415,33.115,462.26,3.4566758116140828,0.06008992531626276,random,200.0,15.819695793535347,2.7279616932794344,9.913243666933646,0.006382686166059393,9.913243666933646
0.2,3644.0,729.0,22.60098792535675,13122.0,545.0,0.24008810572687225,22.0,0.5365853658536586,32.0,0.055267702936096716,0.7431417137997096,0.9692579825834544,1725.0,19.0,547.0,4.153330285017528,0.16765736930345984,confidence_only,,,,,,
0.2,3644.0,729.0,22.60098792535675,13122.0,643.0,0.28325991189427313,12.0,0.2926829268292683,369.0,0.6373056994818653,0.7343678602146666,0.9674882507429678,1627.0,29.0,210.0,4.900167657369304,0.09144947416552354,rt_only,,,,,,
0.2,3644.0,729.0,22.60098792535675,13122.0,612.0,0.2696035242290749,10.0,0.24390243902439024,34.0,0.05872193436960276,0.7443890335222653,0.9574093752159791,1658.0,31.0,545.0,4.663923182441701,0.07620789513793629,rt_plus_conf_error,,,,,,
0.2,3644.0,729.0,22.60098792535675,13122.0,525.0,0.23127753303964757,2.0,0.04878048780487805,476.0,0.8221070811744386,0.7343198191620764,0.9530016759969591,1745.0,39.0,103.0,4.0009144947416555,0.015241579027587259,rt_plus_conf_ocw,,,,,,
0.2,3644.0,729.0,22.60098792535675,13122.0,650.0,0.28634361233480177,22.0,0.5365853658536586,46.0,0.07944732297063903,0.7685899086850394,0.9699504112239961,1620.0,19.0,533.0,4.953513183965859,0.16765736930345984,rt_plus_conf_hfn,,,,,,
0.2,3644.0,729.0,22.60098792535675,13122.0,608.0,0.26784140969162995,9.0,0.21951219512195122,33.0,0.05699481865284974,0.7579983972580915,0.9585138917686089,1662.0,32.0,546.0,4.633440024386527,0.06858710562414266,shuffled_rt_placebo,,,,,,
0.2,3644.0,729.0,22.60098792535675,13122.0,982.0,0.4325991189427313,41.0,1.0,579.0,1.0,0.8339744575205074,1.0,1288.0,0.0,0.0,7.483615302545344,0.3124523700655388,oracle,,,,,,
0.29999999999999993,3644.0,1094.0,24.403951701427,19692.0,680.265,0.2996762114537445,12.6,0.3073170731707317,174.07,0.30063903281519866,0.7577770959901275,0.9613985892252401,1589.735,28.4,404.93,3.4545246800731264,0.06398537477148081,random,200.0,19.75967547810439,3.2140317359976396,10.303644986120204,0.007839561645489731,10.303644986120204
0.3,3644.0,1094.0,24.403951701427005,19692.0,820.0,0.36123348017621143,30.0,0.7317073170731707,64.0,0.11053540587219343,0.7761284401961155,0.9876935171746493,1450.0,11.0,515.0,4.164127564493195,0.15234613040828762,confidence_only,,,,,,
0.3,3644.0,1094.0,24.403951701427005,19692.0,894.0,0.39383259911894275,13.0,0.3170731707317073,436.0,0.7530224525043178,0.7712414503703707,0.9680778733844773,1376.0,28.0,143.0,4.539914686166972,0.06601665651025797,rt_only,,,,,,
0.3,3644.0,1094.0,24.403951701427005,19692.0,861.0,0.379295154185022,14.0,0.34146341463414637,58.0,0.1001727115716753,0.7806542884284806,0.9628468622572397,1409.0,27.0,521.0,4.372333942717855,0.07109486085720089,rt_plus_conf_error,,,,,,
0.3,3644.0,1094.0,24.403951701427005,19692.0,660.0,0.2907488986784141,4.0,0.0975609756097561,513.0,0.8860103626943006,0.758549935308775,0.9600015550487249,1610.0,37.0,66.0,3.351614868982328,0.020312817387771683,rt_plus_conf_ocw,,,,,,
0.3,3644.0,1094.0,24.403951701427005,19692.0,903.0,0.39779735682819384,34.0,0.8292682926829268,62.0,0.1070811744386874,0.795232231315079,0.9842313739719399,1367.0,7.0,517.0,4.5856185252894575,0.1726589477960593,rt_plus_conf_hfn,,,,,,
0.3,3644.0,1094.0,24.403951701427005,19692.0,811.0,0.35726872246696034,14.0,0.34146341463414637,47.0,0.08117443868739206,0.7815698908073714,0.961462004976156,1459.0,27.0,532.0,4.118423725370709,0.07109486085720089,shuffled_rt_placebo,,,,,,
0.3,3644.0,1094.0,24.403951701427005,19692.0,1426.0,0.628193832599119,41.0,1.0,579.0,1.0,0.8788688140313615,1.0,844.0,0.0,0.0,7.241519398740605,0.20820637822465976,oracle,,,,,,
