scale,strategy,escalation_rate,n_decisions,n_errors,n_ocw,n_high_risk_fn,error_capture_rate,overconfident_wrong_capture_rate,high_risk_fn_capture_rate
PHQ-9,confidence_only,0.2,3644,393,34,6,0.28498727735368956,0.0,0.8333333333333334
PHQ-9,rt_only,0.2,3644,393,34,6,0.11959287531806616,0.14705882352941177,0.6666666666666666
PHQ-9,rt_plus_conf_ocw,0.2,3644,393,34,6,0.089058524173028,0.5,0.16666666666666666
GAD-7,confidence_only,0.2,3644,142,20,2,0.9366197183098591,0.55,1.0
GAD-7,rt_only,0.2,3644,142,20,2,0.07746478873239436,0.15,0.5
GAD-7,rt_plus_conf_ocw,0.2,3644,142,20,2,0.09859154929577464,0.7,0.0
PSS,confidence_only,0.2,3644,1563,492,29,0.23864363403710812,0.0,0.41379310344827586
PSS,rt_only,0.2,3644,1563,492,29,0.35764555342290466,0.7195121951219512,0.1724137931034483
PSS,rt_plus_conf_ocw,0.2,3644,1563,492,29,0.2981445937300064,0.943089430894309,0.0
ISI,confidence_only,0.2,3644,172,33,4,0.8372093023255814,0.15151515151515152,1.0
ISI,rt_only,0.2,3644,172,33,4,0.1511627906976744,0.21212121212121213,0.5
ISI,rt_plus_conf_ocw,0.2,3644,172,33,4,0.13953488372093023,0.6060606060606061,0.0
