scale,macro_f1,weighted_f1,mae,quadratic_weighted_kappa,high_risk_recall,false_negative_rate,auroc,pr_auc,brier_score,ece,policy,budget,variant,split,n,avg_items_used,repeat
PHQ-9,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0034077944685450535,0.015696889696695207,fixed_order,11,responses,test,3644,11,
GAD-7,0.5499952549880079,0.8921028778321116,0.12376509330406148,0.7981018577235898,0.8928571428571429,0.1071428571428571,0.94427288058756,0.47546433930525217,0.20665919208080866,0.06809085507238172,fixed_order,11,responses,test,3644,11,
PSS,0.19186538136309825,0.4778732714740614,0.38419319429198684,0.0,0.0,1.0,0.5,0.25,0.6346550935494317,0.25769728824468063,fixed_order,11,responses,test,3644,11,
ISI,0.23761520737327188,0.8607356578834218,0.10675082327113063,0.0,0.0,1.0,0.5,0.25,0.173735966055127,0.01509822695395202,fixed_order,11,responses,test,3644,11,
PHQ-9,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0034077944685450535,0.015696889696695207,fixed_order,19,responses,test,3644,19,
GAD-7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0027375520208137404,0.010602275126678409,fixed_order,19,responses,test,3644,19,
PSS,0.4106757129905778,0.3131905158576676,0.6679473106476399,0.2938568016651518,0.25943396226415094,0.7405660377358491,0.7859937033554141,0.5042368864355409,0.902605947577584,0.454344433722658,fixed_order,19,responses,test,3644,19,
ISI,0.23761520737327188,0.8607356578834218,0.10675082327113063,0.0,0.0,1.0,0.5,0.25,0.173735966055127,0.01509822695395202,fixed_order,19,responses,test,3644,19,
PHQ-9,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0034077944685450535,0.015696889696695207,fixed_order,26,responses,test,3644,26,
GAD-7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0027375520208137404,0.010602275126678409,fixed_order,26,responses,test,3644,26,
PSS,0.7575017431260647,0.7669021087457556,0.2486278814489572,0.751115563245606,0.9268867924528302,0.07311320754716977,0.9473321481277425,0.8314954657717094,0.35225798188502955,0.0892663549892888,fixed_order,26,responses,test,3644,26,
ISI,0.23761520737327188,0.8607356578834218,0.10675082327113063,0.0,0.0,1.0,0.5,0.25,0.173735966055127,0.01509822695395202,fixed_order,26,responses,test,3644,26,
PHQ-9,0.5568408509352082,0.8161258199661166,0.20279912184412732,0.7583392429369197,0.6307692307692307,0.36923076923076925,0.8934678735616964,0.4854711055844255,0.38598636028349886,0.10253741160190293,short_forms,11,responses,test,3644,11,
GAD-7,0.5499952549880079,0.8921028778321116,0.12376509330406148,0.7981018577235898,0.8928571428571429,0.1071428571428571,0.94427288058756,0.47546433930525217,0.20665919208080866,0.06809085507238172,short_forms,11,responses,test,3644,11,
PSS,0.554997479751851,0.6278555583823934,0.39709110867178926,0.6459607923229101,0.8773584905660378,0.12264150943396224,0.8533196585741545,0.611015904423134,0.595433226697628,0.14665383909221563,short_forms,11,responses,test,3644,11,
ISI,0.719854978130375,0.9400017408704769,0.05653128430296377,0.7332197782048036,0.5384615384615384,0.46153846153846156,0.9672312683286055,0.7220919750730771,0.08469220530242833,0.01727021725887858,short_forms,11,responses,test,3644,11,
PHQ-9,0.7309501743192715,0.8596083127196879,0.15010976948408342,0.8475249894671678,0.9333333333333333,0.06666666666666665,0.957401392636165,0.684565710795019,0.23877131232526116,0.09324168937597566,short_forms,19,responses,test,3644,19,
GAD-7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0027375520208137404,0.010602275126678409,short_forms,19,responses,test,3644,19,
PSS,0.554997479751851,0.6278555583823934,0.39709110867178926,0.6459607923229101,0.8773584905660378,0.12264150943396224,0.8533196585741545,0.611015904423134,0.595433226697628,0.14665383909221563,short_forms,19,responses,test,3644,19,
ISI,0.719854978130375,0.9400017408704769,0.05653128430296377,0.7332197782048036,0.5384615384615384,0.46153846153846156,0.9672312683286055,0.7220919750730771,0.08469220530242833,0.01727021725887858,short_forms,19,responses,test,3644,19,
PHQ-9,0.7578764760902628,0.8960654320675845,0.11086717892425905,0.8893057639387759,1.0,0.0,0.9786662213046341,0.7967621615123709,0.16157819526422715,0.04888644700291367,short_forms,26,responses,test,3644,26,
GAD-7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0027375520208137404,0.010602275126678409,short_forms,26,responses,test,3644,26,
PSS,0.5059371136684472,0.678787055414977,0.47008781558726676,0.5539364908258622,0.9410377358490566,0.05896226415094341,0.8578166862405616,0.5987622189932902,0.5816176225948894,0.17544675546502841,short_forms,26,responses,test,3644,26,
ISI,0.8267773772537521,0.9586905242644985,0.03896816684961581,0.825761837055494,0.717948717948718,0.28205128205128205,0.9872588667852022,0.8181993299295187,0.06062426166275605,0.011718572200059365,short_forms,26,responses,test,3644,26,
