policy,budget,variant,split,n,avg_items_used,mean_macro_f1,mean_weighted_f1,mean_mae,mean_quadratic_weighted_kappa,mean_high_risk_recall,mean_false_negative_rate,mean_auroc,mean_pr_auc,mean_brier_score,mean_ece,n_repeats,mean_macro_f1_sd,mean_weighted_f1_sd,mean_mae_sd,mean_quadratic_weighted_kappa_sd,mean_high_risk_recall_sd,mean_false_negative_rate_sd,mean_auroc_sd,mean_pr_auc_sd,mean_brier_score_sd,mean_ece_sd,delta_macro_f1_vs_response_only,delta_ece_vs_response_only,delta_macro_f1_vs_best_same_budget
fixed_order,11,responses,test,3644,11,0.4948689609310945,0.8076779517973987,0.1536772777167947,0.4495254644308974,0.4732142857142857,0.5267857142857143,0.73606822014689,0.493866084826313,0.2546145115384781,0.0891458149919273,,,,,,,,,,,,-0.13731174277492514,-0.011731616265553302,-0.13731174277492514
short_forms,11,responses,test,3644,11,0.5954221409513606,0.8190214992627747,0.1950466520307354,0.7339054177970559,0.7348616006634874,0.2651383993365125,0.9145729202630042,0.5735108310964722,0.3181927460910909,0.0836380807563447,,,,,,,,,,,,-0.03675856275465905,-0.017239350501135897,-0.03675856275465905
train_selected_fixed,11,responses,test,3644,11,0.6145293473120501,0.8117679951162751,0.1517563117453348,0.6123291870017471,0.5885531135531136,0.4114468864468864,0.8427689336440107,0.6155500396568119,0.2496891593424918,0.1034564592029925,,,,,,,,,,,,-0.01765135639396953,0.0025790279455119025,-0.01765135639396953
random_repeated_mean,11,responses,test,3644,11,0.5778016329478465,0.8272732297617631,0.1826701427003292,0.7038164621354269,0.6590406472458359,0.3409593527541641,0.909212030564064,0.5103093900662761,0.2691653954074687,0.058931173159895,50.0,0.0133622899239884,0.0024927914940956,0.002857984734509,0.0069142482580921,0.0225733900127788,0.0225733900127788,0.0046345079194994,0.0118682718356287,0.0035626841246144,0.0025143176895047,-0.054379070758173165,-0.04194625809758559,-0.054379070758173165
response_only_uncertainty,11,responses,test,3644,11,0.6321807037060196,0.8382158536015256,0.2047200878155872,0.7660933258490654,0.8808219296426842,0.1191780703573156,0.9177849519027408,0.5843827877359158,0.2979635947781539,0.1008774312574806,,,,,,,,,,,,0.0,0.0,0.0
response_only_uncertainty,11,responses_rt_calibration_only,test,3644,11,0.6321807037060196,0.8382158536015256,0.2047200878155872,0.7660933258490654,0.8808219296426842,0.1191780703573156,0.9184804575630756,0.6023747737855656,0.289882620016718,0.0881647940029857,,,,,,,,,,,,0.0,-0.012712637254494896,0.0
rt_aware_uncertainty,11,responses_rt_state,test,3644,11,0.6239288629636032,0.8378734114536073,0.2037596048298573,0.7654292891599737,0.8718186294837238,0.1281813705162762,0.9244215547602416,0.6145268156050814,0.2861311187069871,0.0936734139030657,,,,,,,,,,,,-0.008251840742416472,-0.007204017354414893,-0.008251840742416472
fixed_order,19,responses,test,3644,19,0.6620727300909625,0.7934815434352724,0.1936745334796926,0.573464200416288,0.5648584905660378,0.4351415094339622,0.8214984258388536,0.6885592216088852,0.2706218150305174,0.1239354563749959,,,,,,,,,,,,-0.026482968714286348,0.026061044959504398,-0.0893779279594119
short_forms,19,responses,test,3644,19,0.7514506580503744,0.8568664029931395,0.1509330406147091,0.8066763899987204,0.8372883405902274,0.1627116594097726,0.9444880798847312,0.7544183975728076,0.2304085740865328,0.066942005213437,,,,,,,,,,,,0.06289495924512556,-0.030932406202054494,0.0
train_selected_fixed,19,responses,test,3644,19,0.7059796082708628,0.8459435282938446,0.1925082327113062,0.7825228267052956,0.9054314396295527,0.0945685603704471,0.9428698289705812,0.7308209544600079,0.2487260204302668,0.0815752384800612,,,,,,,,,,,,0.017423909465614007,-0.016299172935430303,-0.04547104977951155
random_repeated_mean,19,responses,test,3644,19,0.7165611724545236,0.88421930512424,0.1187650933040614,0.8137331326070586,0.7722783018867924,0.2277216981132075,0.9621660324432798,0.6942446267906708,0.1818310875586524,0.0246823745613648,50.0,0.0139595443966549,0.002365789741261,0.0026083380825141,0.0051779864821912,0.0192335607504276,0.0192335607504276,0.0014065352292341,0.0163026432520034,0.0026812182695267,0.001751634683968,0.028005473649274748,-0.0731920368541267,-0.03488948559585081
response_only_uncertainty,19,responses,test,3644,19,0.6885556988052488,0.8599425985404633,0.1868139407244786,0.7938927516927521,0.943615229110512,0.0563847708894878,0.9393338792640004,0.6739849009902324,0.2602558418533242,0.0978744114154915,,,,,,,,,,,,0.0,0.0,-0.06289495924512556
response_only_uncertainty,19,responses_rt_calibration_only,test,3644,19,0.6885556988052488,0.8599425985404633,0.1868139407244786,0.7938927516927521,0.943615229110512,0.0563847708894878,0.941908859335232,0.6830694048190826,0.250490061146897,0.082763382609933,,,,,,,,,,,,0.0,-0.015111028805558493,-0.06289495924512556
rt_aware_uncertainty,19,responses_rt_state,test,3644,19,0.6763809183530785,0.8616537672769774,0.183109220636663,0.7950524990730752,0.9373825074296772,0.0626174925703227,0.9437803935755192,0.7059558414255065,0.2469678274318753,0.0793160064622106,,,,,,,,,,,,-0.012174780452170353,-0.0185584049532809,-0.07506973969729591
fixed_order,26,responses,test,3644,26,0.7487792376248341,0.9069094416572944,0.0888446761800219,0.6877788908114015,0.7317216981132075,0.2682783018867924,0.8618330370319356,0.7703738664429274,0.1330348236073788,0.0326659366916536,,,,,,,,,,,,-0.06016127575960373,-0.0284460719443606,-0.06470933612485108
short_forms,26,responses,test,3644,26,0.7726477417531156,0.883385752936765,0.1549807903402854,0.8172510229550332,0.9147466134494436,0.0852533865505563,0.9559354435825996,0.8034309276087949,0.2016394078856715,0.0616635124486699,,,,,,,,,,,,-0.036292771631322274,0.0005515038126556945,-0.040840831996569626
