scale,macro_f1,weighted_f1,mae,quadratic_weighted_kappa,high_risk_recall,false_negative_rate,auroc,pr_auc,brier_score,ece,policy,budget,variant,split,n,avg_items_used
PHQ-9,0.6961845690666557,0.8420581233915515,0.17096597145993414,0.8242992568095229,0.8871794871794871,0.11282051282051286,0.9552700371037093,0.6832823016983743,0.23414829584728683,0.05124714959294864,train_selected_fixed_maskaware_cart,19,cart,test,3644,19
GAD-7,0.6531280597440119,0.9245290754194395,0.08562019758507135,0.8667095367591475,1.0,0.0,0.9871669159027942,0.6023418685157107,0.11401541617201194,0.030052384881470943,train_selected_fixed_maskaware_cart,19,cart,test,3644,19
PSS,0.5624139787273337,0.7156395395781078,0.300768386388584,0.6736338328971796,0.6438679245283019,0.3561320754716981,0.8868382159068363,0.6057627916571591,0.4538062949060609,0.141507429203569,train_selected_fixed_maskaware_cart,19,cart,test,3644,19
ISI,0.502299591202965,0.9072218825170865,0.1163556531284303,0.6834215372515966,0.9487179487179487,0.05128205128205132,0.9282622298695655,0.49866161831121525,0.15428407484381973,0.06528711418174579,train_selected_fixed_maskaware_cart,19,cart,test,3644,19
PHQ-9,0.4350072253251163,0.9230413036756738,0.07244785949506037,0.8761805838566273,0.4153846153846154,0.5846153846153845,0.9924011044017602,0.7855111138790547,0.12134055081859288,0.1409989772136527,train_selected_fixed_maskaware_logistic_l2,19,logistic_l2,test,3644,19
GAD-7,0.3803363085019579,0.9588973842324346,0.04500548847420417,0.8136130236734648,0.011904761904761904,0.9880952380952381,0.9961987274815757,0.7803943980085755,0.0595630018127398,0.07666086309750314,train_selected_fixed_maskaware_logistic_l2,19,logistic_l2,test,3644,19
PSS,0.6650079538686426,0.733190318695668,0.27277716794731066,0.6949509332875234,0.6509433962264151,0.34905660377358494,0.9153851360973533,0.6228151163400002,0.38672476884761364,0.09702762822252144,train_selected_fixed_maskaware_logistic_l2,19,logistic_l2,test,3644,19
ISI,0.5116397800494336,0.9194323491859927,0.09110867178924259,0.6528354026280089,0.10256410256410256,0.8974358974358975,0.9803201103304449,0.5931798382470826,0.132369587847112,0.030540500497638696,train_selected_fixed_maskaware_logistic_l2,19,logistic_l2,test,3644,19
PHQ-9,0.648640178632112,0.8517288874256731,0.15998902305159166,0.8376812384073,0.8974358974358975,0.10256410256410253,0.9522910880041721,0.6547272225289621,0.2360928265189584,0.0290173397748614,short_forms_maskaware_cart,19,cart,test,3644,19
GAD-7,0.655652793917272,0.9243638382367688,0.08589462129527992,0.8651277767590951,1.0,0.0,0.987375434680095,0.6037452337205712,0.1127633083837824,0.030789394791057138,short_forms_maskaware_cart,19,cart,test,3644,19
PSS,0.6456247247445103,0.757580331665187,0.25878155872667397,0.7083001234060058,0.7476415094339622,0.25235849056603776,0.9204826898027039,0.683246007368997,0.3899728223608807,0.1248356444479247,short_forms_maskaware_cart,19,cart,test,3644,19
ISI,0.5834223509700547,0.8793631075068709,0.150384193194292,0.5909365036967094,0.6923076923076923,0.3076923076923077,0.955021015039986,0.551314843396054,0.18476958537711477,0.09229093951300214,short_forms_maskaware_cart,19,cart,test,3644,19
PHQ-9,0.5022764351609887,0.8859006409449778,0.11388583973655324,0.8272162303100861,0.4512820512820513,0.5487179487179488,0.9769388036764617,0.7083743155021761,0.18638015405109953,0.11909526718340566,short_forms_maskaware_logistic_l2,19,logistic_l2,test,3644,19
GAD-7,0.3857627118644068,0.9662430928947515,0.03732162458836443,0.8289373535250737,0.0,1.0,0.9983418134166098,0.8621648839408194,0.04457911456347208,0.07943019007320079,short_forms_maskaware_logistic_l2,19,logistic_l2,test,3644,19
PSS,0.6415556343240677,0.7765990563479405,0.22777167947310648,0.7306974595842957,0.7004716981132075,0.29952830188679247,0.9319630596178693,0.6457777603501148,0.3455550110616509,0.11834215847383132,short_forms_maskaware_logistic_l2,19,logistic_l2,test,3644,19
ISI,0.46318960071042803,0.9116280866551244,0.10016465422612514,0.6181336972799123,0.02564102564102564,0.9743589743589743,0.9664985500951435,0.6811065807962867,0.14605878050909404,0.043519146656270144,short_forms_maskaware_logistic_l2,19,logistic_l2,test,3644,19
